province,region,description-vi,description-en
TP. Hồ Chí Minh,Nam Bộ,"Thành phố năng động, trung tâm kinh tế, ẩm thực và giải trí lớn nhất Việt Nam.","Dynamic metropolis – Vietnam’s economic, culinary, and entertainment hub."
Đồng Nai,Nam Bộ,"Gần TP.HCM, có khu du lịch Bửu Long và hồ Trị An.",Near HCMC with Buu Long tourist area and Tri An lake.
Bình Dương,Nam Bộ,"Trung tâm công nghiệp lớn, có chùa Bà Thiên Hậu và công viên Đại Nam.",Industrial center with Ba Thien Hau temple and Dai Nam park.
Bình Phước,Nam Bộ,Nhiều rừng cao su và vườn quốc gia Bù Gia Mập.,Known for rubber forests and Bu Gia Map National Park.
Tây Ninh,Nam Bộ,Có núi Bà Đen và Tòa Thánh Cao Đài.,Home to Ba Den mountain and Cao Dai Holy See.
Bà Rịa - Vũng Tàu,Nam Bộ,"Thành phố biển với bãi Trước, bãi Sau, và Côn Đảo.","Coastal city with Front Beach, Back Beach, and Con Dao islands."
Long An,Nam Bộ,"Cửa ngõ miền Tây, có làng nổi Tân Lập và di tích Đồng Tháp Mười.",Gateway to Mekong Delta with Tan Lap floating village.
Tiền Giang,Nam Bộ,Có chợ nổi Cái Bè và cù lao Thới Sơn.,Home to Cai Be floating market and Thoi Son islet.
Bến Tre,Nam Bộ,"Xứ dừa nổi tiếng, có làng nghề truyền thống và sông nước yên bình.",Coconut land with traditional crafts and peaceful rivers.
Vĩnh Long,Nam Bộ,"Vùng sông nước trù phú, có cù lao An Bình và chợ nổi Trà Ôn.",Fertile Mekong area with An Binh islet and Tra On floating market.
Trà Vinh,Nam Bộ,"Vùng đất giao thoa văn hóa Khmer, có chùa Âng và Ao Bà Om.",Khmer cultural province with Ang pagoda and Ba Om pond.
Sóc Trăng,Nam Bộ,Nổi tiếng với chùa Dơi và bánh pía.,Famous for Bat Pagoda and pia cake.
Bạc Liêu,Nam Bộ,Có cánh đồng điện gió và nhà Công tử Bạc Liêu.,Known for wind farms and Bac Lieu Prince’s mansion.
Cà Mau,Nam Bộ,"Điểm cực Nam của Tổ quốc, có rừng U Minh và mũi Cà Mau.",Southernmost tip of Vietnam with U Minh forest and Ca Mau Cape.
Cần Thơ,Nam Bộ,"Trung tâm miền Tây, nổi tiếng với chợ nổi Cái Răng.",Mekong Delta’s heart with Cai Rang floating market.
